Materia,iddomanda,domanda,risposta1,risposta2,risposta3,risposta4,risposta_corretta
ALTRI TEST - KINESIOLOGIA,ACKI3,Come viene eseguito il test muscolare?,il test muscolare viene eseguito esercitando una spinta dalla posizione dove il muscolo è più contratto verso quella dove il muscolo si rilassa allungando le sue fibre,si esegue il test esercitando una spinta dalla posizione dove il muscolo ha le fibre allungate e lo si porta sulla posizione dove il muscolo si contrae,non ha importanza la direzione della spinta,,il test muscolare viene eseguito esercitando una spinta dalla posizione dove il muscolo è più contratto verso quella dove il muscolo si rilassa allungando le sue fibre
ALTRI TEST - KINESIOLOGIA,ACKI4,Cosa indica uno squilibrio muscolare?,uno squilibrio al quale è collegato una debolezza,uno squilibrio al quale è collegato un malessere,uno squilibrio al quale è collegata una forza,,uno squilibrio al quale è collegato una debolezza
ALTRI TEST - KINESIOLOGIA,ACKI5,Cosa si intende per MIF?,muscolo indicatore debole,muscolo indicatore,muscolo indicatore forte,,muscolo indicatore forte
ALTRI TEST - KINESIOLOGIA,ACKI6,Cosa si intende per TL?,un tocco che ci indica dove c'è un problema a livello energetico,una terapia locale un tocco che ci indica dove c'è un problema a livello energetico,una tensione locale,,una terapia locale un tocco che ci indica dove c'è un problema a livello energetico
ALTRI TEST - KINESIOLOGIA,ACKI7,Il meridiano è un circuito energetico che,mette in comunicazione le varie parti del corpo in particolare interno con esterno,i meridiani sono dei canali fisici,nessuna delle precedenti,,mette in comunicazione le varie parti del corpo in particolare interno con esterno
ALTRI TEST - KINESIOLOGIA,ACKI8,Il test del vaso concezione su quale muscolo viene eseguito?,grande rotondo,sopraspinato,gran dorsale,,sopraspinato
ALTRI TEST - KINESIOLOGIA,ACKI9,La Kinesiologia si avvale del triangolo della salute cosa rappresenta questo triangolo?,un triangolo con un lato strutturale biochimico nutrizionale,un triangolo con un lato fisico uno emozionale e uno biochimico,un triangolo con un lato fisico emozionale strutturale,,un triangolo con un lato fisico uno emozionale e uno biochimico
ALTRI TEST - KINESIOLOGIA,ACKI10,La Kinesiologia si occupa,dell'aspetto globale della persona,dell'aspetto emotivo,dell'aspetto fisico e chimico,,dell'aspetto globale della persona
ALTRI TEST - KINESIOLOGIA,ACKI11,Ogni muscolo è correlato:,muscolo organo meridiano nervo,muscolo viscere nervo,meridiano muscolo arterie vene,,muscolo organo meridiano nervo
ALTRI TEST - KINESIOLOGIA,ACKI12,Quadricipite: a quale meridiano e organo è in relazione,intestino crasso,intestino tenue,cuore,,intestino tenue
ALTRI TEST - KINESIOLOGIA,ACKI13,Qual è il muscolo il relazione con il meridiano dello stomaco?,gran dorsale,pettorale maggiore clavicolare,pettorale maggiore sternale,,pettorale maggiore clavicolare
ALTRI TEST - KINESIOLOGIA,ACKI14,qual è questo comando?,Spingi (Invece di Tieni),,,,Spingi (Invece di Tieni)
ALTRI TEST - KINESIOLOGIA,ACKI15,Quali sono gli strumenti di cui si avvale la Kinesiologia,test muscolare,forza muscolare,test muscolare e medicina tradizionale cinese,,test muscolare e medicina tradizionale cinese
ALTRI TEST - KINESIOLOGIA,ACKI16,Quali sono i 5 fattori Intervertebrali,nervo circolazione sanguigna circolazione linfatica midollo spinale,meridiano circolazione sanguigna e linfatica,fluido cerebrospinale meridiano circolazione sanguigna circolazione linfatica nervo,,fluido cerebrospinale meridiano circolazione sanguigna circolazione linfatica nervo
ALTRI TEST - KINESIOLOGIA,ACKI17,Quali sono i cicli fisiologici della medicina tradizionale cinese,ciclo di nutrizione ciclo di controllo,ciclo di controllo,ciclo di nutrizione,,ciclo di nutrizione ciclo di controllo
ALTRI TEST - KINESIOLOGIA,ACKI18,Quali sono i riflessi che agiscono su un muscolo per rinforzarlo?,non ci sono riflessi legati al muscolo,neurovascolari neurolinfatici agopunti,neurolinfatici neurovascolari riflessi spinali agopunti,,neurolinfatici neurovascolari riflessi spinali agopunti
ALTRI TEST - KINESIOLOGIA,ACKI19,Se uso un MID per avere informazioni quali informazioni ho:,informazioni sul suo circuito,informazioni su tutto il circuito,informazioni su entrambi,,informazioni su entrambi
ALTRI TEST - KINESIOLOGIA,ACKI20,Un unico test nella ruota dei meridiani viene testato con un comando diverso sai dirmi quale?,Cuore,,,,Cuore
ALTRI TEST - LINFODRENAGGIO,ACLI1,Controindicazioni assolute del linfodrenaggio,infezioni acute tumori maligni tubercolosi trombosi allergie edemi causati da insufficienza cardiaca,,,,infezioni acute tumori maligni tubercolosi trombosi allergie edemi causati da insufficienza cardiaca
ALTRI TEST - LINFODRENAGGIO,ACLI2,Cosa è il linfangione,E' il tratto di collettore compreso tra due valvole,,,,E' il tratto di collettore compreso tra due valvole
ALTRI TEST - LINFODRENAGGIO,ACLI3,Dove si trova il terminus,Alla base del collo fosse clavicolari altezza succlavie giugulari,,,,Alla base del collo fosse clavicolari altezza succlavie giugulari
ALTRI TEST - LINFODRENAGGIO,ACLI4,I linfociti sono prodotti,dai linfonodi,dai linfonodi e dai vasi linfatici,solo dai linfonodi delle principali stazioni linfatiche,nei capillari linfatici,dai linfonodi
ALTRI TEST - LINFODRENAGGIO,ACLI5,I linfonodi,sono posti in serie,sono posti in parallelo,non sono mai raggruppati,costituiscono il 10-15% del peso corporeo,sono posti in serie
ALTRI TEST - LINFODRENAGGIO,ACLI6,Il dotto toracico,è il più grande condotto linfatico del corpo,si immette nel sistema circolatorio sanguigno,tutte le precedenti,nessuna delle precedenti,tutte le precedenti
ALTRI TEST - LINFODRENAGGIO,ACLI7,Il sistema linfatico ha:,solo una funzione,numerose funzioni importanti,È un sistema obsoleto di cui potremmo anche fare a meno,,numerose funzioni importanti
ALTRI TEST - LINFODRENAGGIO,ACLI8,La cisterna di Pecquet,raccoglie la linfa di tutto il corpo,raccoglie la linfa degli arti superiori,è l'inizio del dotto toracico,è il punto in cui termina il dotto toracico,è l'inizio del dotto toracico
ALTRI TEST - LINFODRENAGGIO,ACLI9,La linfa del collo viene drenata,verso l'ascella,verso il terminus,verso i trapezi,verso la nuca,verso il terminus
ALTRI TEST - LINFODRENAGGIO,ACLI10,La linfa del ventre viene drenata,verso i linfonodi ascellari,verso i linfonodi inguinali,verso il terminus,verso la cisterna del chilo,verso i linfonodi inguinali
ALTRI TEST - LINFODRENAGGIO,ACLI11,Le cellule linfoidi innate hanno come funzione:,quella eccitatoria,mantenere l'omeostasi,solo di nutrire il microbiota,,mantenere l'omeostasi
ALTRI TEST - LINFODRENAGGIO,ACLI12,Le manovre di pompaggio (nel linfodrenaggio),vanno eseguite dopo quelle di evacuazione,vanno eseguite solo in certi distretti corporei,vanno eseguite prima di quelle di evacuazione,nessuna delle risposte precedenti,vanno eseguite prima di quelle di evacuazione
ALTRI TEST - LINFODRENAGGIO,ACLI13,Nel linfodrenaggio degli arti inferiori inizio,dai piedi,dai glutei,dalla parte distale della coscia,dalla parte prossimale della coscia,dalla parte prossimale della coscia
ALTRI TEST - LINFODRENAGGIO,ACLI14,Posso effettuare il linfodrenaggio del corpo intero in un paziente affetto da scompenso cardiaco?,No. L'insufficienza cardiaca è una controindicazione relativa. Posso però fare una parte del corpo se ho un edema circoscritto ed ho prescrizione medica.,,,,No. L'insufficienza cardiaca è una controindicazione relativa. Posso però fare una parte del corpo se ho un edema circoscritto ed ho prescrizione medica.
ALTRI TEST - LINFODRENAGGIO,ACLI15,Quali sono le stazioni linfonodali principali,Terminus cisterna di Pecquet cavo ascellare e cavo inguinale,,,,Terminus cisterna di Pecquet cavo ascellare e cavo inguinale
ALTRI TEST - LINFODRENAGGIO,ACLI16,Quanti linfonodi abbiamo nel corpo,1000-1500,600-800,100-200,2000-3000,600-800
ALTRI TEST - LINFODRENAGGIO,ACLI17,Un aumento di pressione oncotica nell'interstizio,determina la formazione di ematoma,è dovuto ad un versamento ematico nell'interstizio,determina la formazione di edema,è determinata dal numero di solvente nell'interstizio,determina la formazione di edema
ALTRI TEST - MASSAGGIO,ACMA1,Controindicazioni assolute (del massaggio),FLEBITI IN FASE ACUTA Trombosi ARTERIOSCLEROSI VENE VARICOSE GRAVI FRAGILITÀ capillari (nella zona) MALATTIE INFETTIVE INTERNE E DELLA CUTE ACNE PUSTOLOSA FORUNCOLOSI FOLLICOLITI MICOSI CUTANEE STATI infiammatori E FEBBRILI TRAUMI RECENTI NEFRITI GRAVI PATOLOGIE EPATICHE CARDIOPATIE ACUTE DURANTE I GIORNI CENTRALI DEL CICLO MESTRUALE GRAVIDANZA (regione addominale) NEOPLASIE SCHIZOFRENIA E PSICOSI EPILESSIA,,,,FLEBITI IN FASE ACUTA Trombosi ARTERIOSCLEROSI VENE VARICOSE GRAVI FRAGILITÀ capillari (nella zona) MALATTIE INFETTIVE INTERNE E DELLA CUTE ACNE PUSTOLOSA FORUNCOLOSI FOLLICOLITI MICOSI CUTANEE STATI infiammatori E FEBBRILI TRAUMI RECENTI NEFRITI GRAVI PATOLOGIE EPATICHE CARDIOPATIE ACUTE DURANTE I GIORNI CENTRALI DEL CICLO MESTRUALE GRAVIDANZA (regione addominale) NEOPLASIE SCHIZOFRENIA E PSICOSI EPILESSIA
ALTRI TEST - MASSAGGIO,ACMA2,Manovre del massaggio (elenco),sfioramento superficiale sfioramento profondo frizione impastamento o spremitura,,,,sfioramento superficiale sfioramento profondo frizione impastamento o spremitura
ALTRI TEST - MASSAGGIO,ACMA3,Per fase acuta in relazione alle patologie di base da trattare si intende:,Fase immediatamente successiva alla lesione,Una fase chiamata anche di rigenerazione,Una fase chiamata anche di rimodellamento,Una fase che prima di essere trattata necessità di 10 giorni di riposo,Fase immediatamente successiva alla lesione
ALTRI TEST - NUTRIZIONE E DIETETICA,ACND1,come vengono classificati come alimento i legumi,carboidrati,fibre,proteine,,proteine
ALTRI TEST - NUTRIZIONE E DIETETICA,ACND2,cosa si intende per indice glicemico,la velocità di ingresso degli zuccheri assunti nel sangue,il quantitativo di zuccheri che entrano nel sangue,il quantitativo di kcal di un alimento,,la velocità di ingresso degli zuccheri assunti nel sangue
ALTRI TEST - NUTRIZIONE E DIETETICA,ACND3,Fabbisogno giornaliero di sodio,10 gr,15 gr.,6 gr.,,6 gr.
ALTRI TEST - NUTRIZIONE E DIETETICA,ACND4,I nutrienti interferiscono:,solo con il metabolismo e la trasduzione del segnale,solo con l'espressione genica,con tutte le precedenti,,con tutte le precedenti
ALTRI TEST - NUTRIZIONE E DIETETICA,ACND5,il fabbisogno degli alimenti deve essere,50% carboidrati 30% proteine 20% grassi,30% carboidrati 30% proteine 40% grassi,55/65% carboidrati 15/20% proteine 20/30% grassi,,55/65% carboidrati 15/20% proteine 20/30% grassi
ALTRI TEST - NUTRIZIONE E DIETETICA,ACND6,qual è l'unica dieta introdotta come patrimonio non materiale dell'unesco,mediterranea,vegana,vegetariana,,mediterranea
ALTRI TEST - NUTRIZIONE E DIETETICA,ACND7,Ruolo della vitamina D,aumentare l'assorbimento del calcio a livello intestinale,fissare il calcio all'osso,ridurre i valori di calcio ematico,,aumentare l'assorbimento del calcio a livello intestinale
ALTRI TEST - NUTRIZIONE E DIETETICA,ACND8,Un'allergia alimentare:,E' un alterazione immunitaria,E' causata da una contaminazione microbica si verifica diverse ore dopo l'assunzione,E' l'impossibilità di digerire un alimento,E' legata alla quantità di alimento ingerito,E' un alterazione immunitaria
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR1,Che caratteristiche deve avere il pavimento di uno studio massoterapico?,Nessuno in particolare,deve essere poroso,deve essere resistente senza fughe e fessure e facilmente igienizzabile,nessuna risposta è corretta,deve essere resistente senza fughe e fessure e facilmente igienizzabile
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR2,Che cosa è il Consiglio Superiore di Sanità?,Organo decisione del Ministero della salute,organo amministrativo del Ministero della Salute,organo consultivo del ministero della salute,tutte le risposte sono corrette,organo consultivo del ministero della salute
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR3,Che dimensioni deve avere lo studio dove l'MCB esegue i trattamenti massoterapici? (VERIFICARE),18 mq,9 mq,12 mq,10 mq,9 mq
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR4,Che dimensioni minime deve avere la sala d'aspetto di un gabinetto massoterapico?,15 mq,9 mq,qualsiasi,12 mq,9 mq
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR5,Chi nomina il Direttore generale della A.S.S.T.?,la giunta regionale attingendo ai nominativi inseriti nell'elenco presso il Ministero della Salute,il consiglio regionale attingendo ai nominativi presenti in elenco presso il Ministero della Salute,Il Presidente del Consiglio dei Ministri attingendo ai nominativi presenti in elenco presso il Ministero della Salute,Il Direttore dell'istituto superiore di sanità,la giunta regionale attingendo ai nominativi inseriti nell'elenco presso il Ministero della Salute
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR6,Come si definisce l'azienda,insieme di risorse,impresa,complesso di beni organizzati dall'imprenditore per l'esercizio di impresa,nessuna risposta è corretta,complesso di beni organizzati dall'imprenditore per l'esercizio di impresa
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR7,Come si raggiunge l'economicità aziendale?,Efficacia + efficienza = economicità,Efficacia + formalizzazione = economicità,Efficacia + procedure standard = economicità,Nessuna risposta è corretta,Efficacia + efficienza = economicità
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR8,Cosa è una ASST?,Azienda sociale sistema territoriale,azienda socio sanitaria territoriale,attività di sicurezza sociale termale,nessuna risposta corretta,azienda socio sanitaria territoriale
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR9,Cosa si intende con il concetto di efficienza?,Capacità di raggiungere lo scopo,capacità di conseguire un obiettivo col minor impiego di risorse,risparmiare tempo,tutte le risposte sono corrette,capacità di conseguire un obiettivo col minor impiego di risorse
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR10,Cosa si intende per formalizzazione aziendale?,Scambio di informazioni aziendali,esplicitare in forma scritta ed ufficiale il piano aziendale,parlare in azienda,nessuna risposta corretta,esplicitare in forma scritta ed ufficiale il piano aziendale
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR11,Cosa si intende per invasività del dispositivo medico ed elettromedicale,penetrabilità parziale della cute,penetrabilità anche parziale nel corpo umano attraverso un orifizio del corpo o la superficie corporea,intervento chirurgico,nessuna risposta è corretta,penetrabilità anche parziale nel corpo umano attraverso un orifizio del corpo o la superficie corporea
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR12,Cosa vuol dire I.S.S.?,Istituto Superiore di Sanità,Istituto sociale di sanità,Istituto socio sanitario,Nessuna risposta è corretta,Istituto Superiore di Sanità
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR13,Cosa vuol dire la sigla L.E.A.,livelli elementari alimentari,livelli essenziali aziendali,livelli essenziali di assistenza,nessuna risposta è corretta,livelli essenziali di assistenza
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR14,Dove si trova il registro delle imprese?,Presso le associazioni industriali,presso le camere di commercio,presso i comuni,presso le A.T.S.,presso le camere di commercio
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR15,Entro quanti giorni dalla pubblicazione di P.S.N. le regioni devono emanare il P.S.R.?,120,150,180,100,150
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR16,I beni aziendali:,devono essere utilizzati per fini aziendali e di proprietà dell'imprenditore,utilizzati non per fini aziendali e di proprietà dell'imprenditore,utilizzati per fini aziendali e non necessariamente di proprietà dell'imprenditore,tutte le risposte sono corrette,utilizzati per fini aziendali e non necessariamente di proprietà dell'imprenditore
ALTRI TEST - ORGANIZZAZIONE AZIENDALE,ACOR17,Il direttore sanitario dell'azienda ATS o USL è nominato:,dal Presidente del consiglio dei ministri,dal ministero della salute,dal direttore generale,dal parlamento,dal direttore generale
